_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
136347,4154205,2017.0,2018,1965.0,PRIVATE,15,Don Valley West,1903 BAYVIEW AVE,5,27,2018-12-14,76,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,,N1529,43.715723026300005,-79.377538515,314652.469,4841536.636
136348,4153550,2018.0,2018,1917.0,PRIVATE,11,University-Rosedale,628 CHURCH ST,3,20,2018-12-14,57,Evaluation needs to be conducted in 1 year,14,3.0,3.0,3.0,3.0,,3.0,,3.0,,,2.0,2.0,5.0,2.0,3.0,3.0,3.0,2.0,,,S1137,43.669587287,-79.382813793,314232.17,4836412.982
136349,4253833,2018.0,2018,1960.0,PRIVATE,4,Parkdale-High Park,1 CLAUDE AVE,3,30,2018-12-14,69,Evaluation needs to be conducted in 2 years,14,4.0,3.0,3.0,4.0,3.0,3.0,,3.0,,,4.0,4.0,5.0,4.0,3.0,3.0,,2.0,,,S0434,43.6398325196,-79.451752832,308677.11199999996,4833099.385
136350,4253901,2017.0,2018,1963.0,PRIVATE,14,Toronto-Danforth,20 COSBURN AVE,3,30,2018-12-14,75,Evaluation needs to be conducted in 3 years,17,4.0,3.0,5.0,4.0,4.0,4.0,,3.0,,3.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,,S1421,43.688697769300006,-79.3541118682,316545.506,4838537.252
136351,4154137,,2018,1955.0,PRIVATE,14,Toronto-Danforth,1243 BROADVIEW AVE,4,38,2018-12-14,71,Evaluation needs to be conducted in 2 years,15,3.0,3.0,5.0,3.0,3.0,3.0,,3.0,,,4.0,5.0,5.0,4.0,3.0,3.0,,3.0,3.0,,S1421,43.6907938758,-79.3550051135,316473.095,4838770.007
136352,4156611,2017.0,2018,1955.0,PRIVATE,3,Etobicoke-Lakeshore,2844 BLOOR ST W,3,14,2018-12-14,78,Evaluation needs to be conducted in 3 years,16,4.0,4.0,3.0,3.0,4.0,4.0,,3.0,,3.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,,W0322,43.649347734399996,-79.503797178,,
136353,4156649,2017.0,2018,1955.0,PRIVATE,3,Etobicoke-Lakeshore,2846 BLOOR ST W,4,16,2018-12-14,80,Evaluation needs to be conducted in 3 years,16,4.0,4.0,3.0,4.0,4.0,4.0,,4.0,,3.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,,W0322,43.6492875275,-79.5040692616,,
136354,4154196,2017.0,2018,1960.0,PRIVATE,15,Don Valley West,27 BRENTCLIFFE RD,3,12,2018-12-14,88,Evaluation needs to be conducted in 3 years,16,4.0,5.0,5.0,5.0,4.0,4.0,,4.0,,2.0,5.0,4.0,5.0,5.0,4.0,4.0,,5.0,5.0,,N1529,43.714989869300005,-79.35960275,316097.848,4841457.449
136355,4154235,2017.0,2018,1970.0,PRIVATE,7,Humber River-Black Creek,45 DRIFTWOOD AVE,14,137,2018-12-14,63,Evaluation needs to be conducted in 2 years,18,4.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,,3.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,,W0730,43.7511483154,-79.5114796645,303860.109,4845464.976
136356,4155396,2017.0,2018,1963.0,PRIVATE,2,Etobicoke Centre,70 DIXFIELD DR,12,141,2018-12-14,77,Evaluation needs to be conducted in 3 years,19,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,,W0225,43.656041966000004,-79.572403682,298944.101,4834902.553
136357,4153147,2017.0,2018,1912.0,PRIVATE,10,Spadina-Fort York,255 DOVERCOURT RD,3,16,2018-12-14,68,Evaluation needs to be conducted in 3 years,16,3.0,4.0,5.0,3.0,3.0,3.0,,3.0,,,3.0,5.0,5.0,3.0,2.0,3.0,3.0,2.0,4.0,,S1021,43.6484324377,-79.42402265850001,310913.609,4834056.383
136358,4154131,2017.0,2018,1965.0,PRIVATE,14,Toronto-Danforth,30 COSBURN AVE,5,26,2018-12-14,69,Evaluation needs to be conducted in 3 years,16,3.0,3.0,5.0,3.0,4.0,5.0,,4.0,,,4.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,,S1421,43.6889031771,-79.35273098340001,316656.787,4838560.2639999995
136359,4154112,2017.0,2018,1973.0,PRIVATE,14,Toronto-Danforth,55 COSBURN AVE,12,155,2018-12-14,79,Evaluation needs to be conducted in 3 years,19,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,,S1421,43.6884922382,-79.3520019211,316715.641,4838514.709
136360,4154114,2018.0,2018,1986.0,PRIVATE,14,Toronto-Danforth,91 COSBURN AVE,11,86,2018-12-14,72,Evaluation needs to be conducted in 3 years,17,4.0,3.0,4.0,4.0,3.0,5.0,,3.0,4.0,,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,,S1421,43.688826668199994,-79.3502448679,316857.213,4838552.103
136361,4154128,2017.0,2018,1961.0,PRIVATE,14,Toronto-Danforth,100 COSBURN AVE,7,140,2018-12-14,89,Evaluation needs to be conducted in 3 years,18,5.0,3.0,5.0,5.0,5.0,4.0,,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,,S1421,43.6894490908,-79.3500408612,316873.531,4838621.28
136362,4154122,2017.0,2018,1974.0,PRIVATE,14,Toronto-Danforth,45 GAMBLE AVE,6,49,2018-12-14,83,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,4.0,5.0,,4.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,,S1421,43.689482846000004,-79.3524948053,316675.712,4838624.697
136363,4154234,2017.0,2018,1971.0,PRIVATE,7,Humber River-Black Creek,1825 FINCH AVE W,16,171,2018-12-14,73,Evaluation needs to be conducted in 1 year,19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,5.0,5.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,W0730,43.7578947138,-79.5119157151,303825.107,4846214.47
136364,4154198,2017.0,2018,1945.0,PRIVATE,15,Don Valley West,958 EGLINTON AVE E,3,24,2018-12-14,79,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,3.0,5.0,5.0,,3.0,,4.0,4.0,4.0,5.0,3.0,3.0,3.0,,5.0,3.0,,N1529,43.714859025,-79.36014009,316054.311,4841443.795
136365,4154195,2017.0,2018,1944.0,PRIVATE,15,Don Valley West,960 EGLINTON AVE E,3,16,2018-12-14,84,Evaluation needs to be conducted in 2 years,15,3.0,4.0,5.0,4.0,3.0,5.0,,4.0,,,5.0,4.0,5.0,4.0,4.0,4.0,,5.0,4.0,,N1529,43.71515813,-79.359256459,316125.459,4841477.143
136366,4153514,2017.0,2018,1970.0,PRIVATE,13,Toronto Centre,15 DUNDONALD ST,24,172,2018-12-14,75,Evaluation needs to be conducted in 2 years,20,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,S1322,43.665727503,-79.383887543,314148.344,4835982.525
136367,4155587,2017.0,2018,1969.0,TCHC,4,Parkdale-High Park,100 HIGH PARK AVE,24,447,2018-12-14,62,Evaluation needs to be conducted in 2 years,20,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,S0428,43.656567829,-79.4673846716,307415.157,4834958.018
136368,4154117,2017.0,2018,1970.0,PRIVATE,14,Toronto-Danforth,60 GOWAN AVE,21,118,2018-12-14,86,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,,S1421,43.6880167433,-79.3522352421,316696.92699999997,4838461.851
136369,4154133,2019.0,2018,1958.0,PRIVATE,14,Toronto-Danforth,15 GAMBLE AVE,3,27,2018-12-14,70,Evaluation needs to be conducted in 2 years,16,4.0,3.0,5.0,4.0,3.0,3.0,,4.0,,,4.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,,S1421,43.6891811387,-79.3538144471,316569.387,4838590.994
136370,4154121,2017.0,2018,1970.0,PRIVATE,14,Toronto-Danforth,33 GAMBLE AVE,4,28,2018-12-14,82,Evaluation needs to be conducted in 2 years,17,5.0,4.0,4.0,5.0,5.0,5.0,,3.0,,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,,S1421,43.6894011372,-79.352872034,316645.318,4838615.567
136371,4152690,2017.0,2018,1958.0,PRIVATE,20,Scarborough Southwest,709 KENNEDY RD,6,79,2018-12-14,81,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,E2023,43.728137438699996,-79.2656668508,323663.167,4842935.041
136372,4152691,2018.0,2018,1958.0,PRIVATE,20,Scarborough Southwest,711 KENNEDY RD,6,79,2018-12-14,71,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,3.0,,4.0,,3.0,3.0,,3.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,,E2023,43.728707711400006,-79.26590545090001,323643.766,4842998.342
136373,4243431,2017.0,2018,1968.0,PRIVATE,7,Humber River-Black Creek,2801 JANE ST,17,234,2018-12-14,63,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,W0730,43.7502253934,-79.5151711117,303562.808,4845362.501
136374,4154231,2017.0,2018,1970.0,PRIVATE,7,Humber River-Black Creek,2940 JANE ST,13,153,2018-12-14,77,Evaluation needs to be conducted in 2 years,18,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,,W0729,43.753728376000005,-79.51778801020001,303352.137,4845751.71
136375,4154233,2017.0,2018,1970.0,PRIVATE,7,Humber River-Black Creek,2970 JANE ST,14,164,2018-12-14,79,Evaluation needs to be conducted in 2 years,18,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,,W0729,43.7553825332,-79.5178201808,303349.587,4845935.472
136376,4154345,2017.0,2018,1963.0,PRIVATE,5,York South-Weston,1550 LAWRENCE AVE W,7,96,2018-12-14,73,Evaluation needs to be conducted in 2 years,19,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,,W0526,43.707214984,-79.486164406,305899.26399999997,4840585.216
136377,4153072,2017.0,2018,1930.0,PRIVATE,4,Parkdale-High Park,469 RONCESVALLES AVE,4,15,2018-12-14,61,Evaluation needs to be conducted in 2 years,15,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,,,S0433,43.65312878020001,-79.4513327974,308710.143,4834576.586
136378,4155681,2017.0,2018,1996.0,SOCIAL HOUSING,10,Spadina-Fort York,900 QUEEN ST W,3,22,2018-12-14,75,Evaluation needs to be conducted in 3 years,17,3.0,4.0,5.0,4.0,3.0,5.0,,4.0,4.0,,4.0,3.0,5.0,3.0,4.0,3.0,,3.0,3.0,4.0,S1021,43.6450713717,-79.4156086518,311592.747,4833683.596
136379,4155437,2018.0,2018,1960.0,PRIVATE,1,Etobicoke North,21 TORBOLTON DR,3,15,2018-12-14,74,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,3.0,3.0,,5.0,,,3.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,,W0130,43.7192557504,-79.5581150551,300101.833,4841923.575
136380,4155431,2017.0,2018,1962.0,PRIVATE,1,Etobicoke North,40 TORBOLTON DR,3,17,2018-12-14,71,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,3.0,4.0,2.0,,4.0,,,4.0,3.0,5.0,3.0,4.0,4.0,3.0,1.0,4.0,,W0130,43.7198931386,-79.5585311012,300068.36,4841994.413
136381,4153852,2017.0,2018,1930.0,PRIVATE,15,Don Valley West,21 SHERWOOD AVE,3,26,2018-12-14,87,Evaluation needs to be conducted in 3 years,17,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,,4.0,5.0,5.0,5.0,4.0,4.0,5.0,,5.0,2.0,,N1526,43.713477488,-79.398290281,312980.353,4841285.901000001
136382,4153858,2017.0,2018,1960.0,PRIVATE,15,Don Valley West,2707 YONGE ST,4,48,2018-12-14,85,Evaluation needs to be conducted in 3 years,15,4.0,4.0,5.0,3.0,4.0,4.0,,4.0,,3.0,4.0,5.0,5.0,5.0,5.0,4.0,,5.0,,,N1526,43.716980201000005,-79.400164813,312828.832,4841674.847
136383,4153861,2017.0,2018,1934.0,PRIVATE,15,Don Valley West,2779 YONGE ST,4,16,2018-12-14,50,Building Audit,16,2.0,2.0,2.0,2.0,2.0,3.0,,2.0,,,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,,N1526,43.718580523199996,-79.40042067270001,312808.266,4841851.654
136384,4156295,2017.0,2018,1967.0,PRIVATE,5,York South-Weston,1765 WESTON RD,25,246,2018-12-14,63,Evaluation needs to be conducted in 2 years,19,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,,W0527,43.6990639559,-79.5119719596,303819.476,4839678.778
136385,4155920,2017.0,2018,1967.0,PRIVATE,5,York South-Weston,1775 WESTON RD,25,245,2018-12-14,62,Evaluation needs to be conducted in 1 year,19,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,,W0527,43.6994166431,-79.51287144,303746.982,4839717.978999999
136386,4155196,2017.0,2018,1979.0,TCHC,5,York South-Weston,55 OUTLOOK AVE,12,275,2018-12-13,74,Evaluation needs to be conducted in 2 years,19,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,W0535,43.678446839799996,-79.49624040329999,305087.49600000004,4837388.185
136387,4155448,2017.0,2018,1965.0,PRIVATE,1,Etobicoke North,20 SANAGAN RD,5,86,2018-12-13,76,Evaluation needs to be conducted in 1 year,19,4.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,,W0124,43.738497055799996,-79.5771085604,298573.456,4844062.39
136388,4153071,2018.0,2018,1920.0,PRIVATE,4,Parkdale-High Park,467 RONCESVALLES AVE,4,15,2018-12-13,65,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,3.0,3.0,3.0,,3.0,,,3.0,2.0,5.0,3.0,3.0,2.0,4.0,3.0,,,S0433,43.6530376051,-79.45130402,308712.47,4834566.458000001
136389,4153053,2017.0,2018,1960.0,PRIVATE,4,Parkdale-High Park,470 RONCESVALLES AVE,4,39,2018-12-13,74,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,3.0,3.0,4.0,,3.0,,,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,,S0432,43.653028589399995,-79.4519252195,308662.363,4834565.429
136390,4442561,,2018,,PRIVATE,9,Davenport,17 PATON RD,4,16,2018-12-13,50,Building Audit,14,2.0,2.0,2.0,2.0,,3.0,,3.0,,,2.0,1.0,3.0,3.0,3.0,3.0,,3.0,3.0,,S0930,43.660294248199996,-79.4441138098,309291.922,4835372.952
136391,4155434,2017.0,2018,1950.0,PRIVATE,1,Etobicoke North,14 TORBOLTON DR,3,16,2018-12-13,70,Evaluation needs to be conducted in 2 years,16,3.0,4.0,4.0,2.0,3.0,4.0,,4.0,,,2.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,,W0130,43.718690395100005,-79.55908041970001,300024.003,4841860.823
136392,4155433,2017.0,2018,1959.0,PRIVATE,1,Etobicoke North,20 TORBOLTON DR,3,17,2018-12-13,68,Evaluation needs to be conducted in 2 years,16,2.0,4.0,4.0,3.0,3.0,3.0,,4.0,,,3.0,2.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,,W0130,43.719111061999996,-79.5589012928,300038.47,4841907.547
136393,4153850,2017.0,2018,1930.0,PRIVATE,15,Don Valley West,11 SHERWOOD AVE,3,23,2018-12-13,86,Evaluation needs to be conducted in 3 years,17,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,,3.0,4.0,5.0,5.0,4.0,5.0,4.0,,5.0,3.0,,N1526,43.713358222,-79.398875082,312933.244,4841272.594
136394,4153853,2017.0,2018,1930.0,PRIVATE,15,Don Valley West,25 SHERWOOD AVE,3,27,2018-12-13,85,Evaluation needs to be conducted in 3 years,16,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,,3.0,4.0,5.0,5.0,3.0,5.0,4.0,,5.0,,,N1526,43.713530331,-79.398012046,313002.767,4841291.799
136395,4154067,2017.0,2018,1960.0,PRIVATE,19,Beaches-East York,2890 ST CLAIR AVE E,4,31,2018-12-13,76,Evaluation needs to be conducted in 2 years,16,4.0,3.0,4.0,4.0,4.0,4.0,,4.0,,,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,,S1924,43.707880094,-79.302844655,320715.28,4840691.633
136396,4154066,2017.0,2018,1955.0,PRIVATE,19,Beaches-East York,2892 ST CLAIR AVE E,4,34,2018-12-13,79,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,S1924,43.70796583,-79.30242735899999,320686.3,4840682.162
136397,4155136,2017.0,2018,1951.0,PRIVATE,5,York South-Weston,1693 WESTON RD,3,12,2018-12-13,77,Evaluation needs to be conducted in 2 years,15,3.0,4.0,5.0,3.0,3.0,4.0,,4.0,,,4.0,4.0,5.0,4.0,3.0,4.0,,4.0,4.0,,W0527,43.6974801662,-79.50926226989999,304037.854,4839502.786
136398,4153170,2017.0,2018,1920.0,PRIVATE,11,University-Rosedale,711 BLOOR ST W,3,12,2018-12-13,63,Evaluation needs to be conducted in 2 years,16,3.0,3.0,4.0,3.0,3.0,3.0,,4.0,,,3.0,3.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,,S1133,43.663485375600004,-79.4178022467,311413.725,4835729.2360000005
136399,4155873,2017.0,2018,1971.0,TCHC,5,York South-Weston,5 BELLEVUE CRES,21,326,2018-12-13,57,Evaluation needs to be conducted in 2 years,18,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,W0527,43.699140093400004,-79.51522928520001,303556.925,4839687.3
136400,4155872,2017.0,2018,1910.0,PRIVATE,13,Toronto Centre,592 CHURCH ST,3,12,2018-12-13,69,Evaluation needs to be conducted in 2 years,13,4.0,4.0,4.0,3.0,,3.0,,4.0,,,3.0,3.0,4.0,3.0,4.0,3.0,,3.0,,,S1322,43.667031521000006,-79.3817873,314317.525,4836127.624
136401,4155133,2017.0,2018,1968.0,PRIVATE,5,York South-Weston,80 CLOUSTON AVE,3,17,2018-12-13,74,Evaluation needs to be conducted in 3 years,16,3.0,3.0,5.0,4.0,4.0,3.0,,4.0,,4.0,4.0,4.0,5.0,3.0,3.0,4.0,,3.0,3.0,,W0527,43.6945334826,-79.50843690090001,304104.346,4839175.411
136402,4153150,2017.0,2018,1912.0,PRIVATE,11,University-Rosedale,677 COLLEGE ST,3,32,2018-12-13,77,Evaluation needs to be conducted in 2 years,15,3.0,5.0,5.0,4.0,3.0,5.0,,4.0,,,3.0,4.0,5.0,3.0,4.0,4.0,,3.0,3.0,,S1141,43.6549416362,-79.4173376182,311452.2,4834780.093
136403,4153151,2017.0,2018,1929.0,PRIVATE,11,University-Rosedale,805 COLLEGE ST,4,72,2018-12-13,70,Evaluation needs to be conducted in 2 years,16,3.0,3.0,5.0,3.0,4.0,4.0,,3.0,,,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,,S1141,43.6543880918,-79.4216105716,311107.589,4834718.259
136404,4155470,2017.0,2018,1977.0,TCHC,3,Etobicoke-Lakeshore,100 CAVELL AVE,7,300,2018-12-13,74,Evaluation needs to be conducted in 3 years,20,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,W0336,43.6154876721,-79.4969959174,305026.782,4830393.808
136405,4154459,2017.0,2018,1966.0,PRIVATE,6,York Centre,41-51 BROOKWELL DR,4,48,2018-12-13,79,Evaluation needs to be conducted in 3 years,18,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,,4.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,,N0625,43.744081781000006,-79.49503543899999,305180.295,4844713.7360000005
136406,4156504,2017.0,2018,1966.0,PRIVATE,6,York Centre,41 BROOKWELL DR,4,38,2018-12-13,74,Evaluation needs to be conducted in 3 years,18,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,,4.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,,N0625,43.744053862399994,-79.4951490688,305175.28,4844676.739
136407,4155213,2017.0,2018,1957.0,PRIVATE,3,Etobicoke-Lakeshore,2696 BLOOR ST W,3,15,2018-12-13,68,Evaluation needs to be conducted in 2 years,17,4.0,3.0,2.0,4.0,3.0,3.0,,3.0,,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,,W0322,43.6503199258,-79.4985552052,304900.86199999996,4834263.452
136408,4154197,2017.0,2018,1958.0,PRIVATE,15,Don Valley West,31 BRENTCLIFFE RD,4,16,2018-12-13,75,Evaluation needs to be conducted in 2 years,15,3.0,3.0,5.0,3.0,3.0,3.0,,4.0,,,4.0,4.0,5.0,3.0,4.0,4.0,,4.0,4.0,,N1529,43.7152123355,-79.35969038260001,316090.745,4841482.152
136409,4154236,2017.0,2018,1971.0,PRIVATE,7,Humber River-Black Creek,101 DRIFTWOOD AVE,4,32,2018-12-13,68,Evaluation needs to be conducted in 1 year,18,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,,3.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,,W0730,43.754502975,-79.513280684,303714.863,4845838.642
136410,4154113,2018.0,2018,1968.0,PRIVATE,14,Toronto-Danforth,75 COSBURN AVE,12,118,2018-12-13,80,Evaluation needs to be conducted in 3 years,19,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,,S1421,43.6886962162,-79.3510054623,316795.92699999997,4838537.506
136411,4154199,2017.0,2018,1958.0,PRIVATE,15,Don Valley West,904 EGLINTON AVE E,4,22,2018-12-13,50,Evaluation needs to be conducted in 2 years,16,2.0,2.0,3.0,2.0,3.0,2.0,,2.0,,3.0,3.0,2.0,2.0,3.0,3.0,2.0,,3.0,3.0,,N1529,43.71442413,-79.362206452,315887.881,4841395.201
136412,4153520,2017.0,2018,1901.0,SOCIAL HOUSING,13,Toronto Centre,127 ISABELLA ST,3,20,2018-12-13,66,Evaluation needs to be conducted in 1 year,18,3.0,3.0,4.0,3.0,3.0,4.0,,3.0,3.0,,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,S1322,43.669021237799996,-79.3777377733,314644.039,4836348.18
136413,4168988,2017.0,2018,1986.0,SOCIAL HOUSING,1,Etobicoke North,20 HUMBERLINE DR,11,104,2018-12-13,80,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,W0125,43.731736309700004,-79.6140657224,295538.059,4843285.541999999
136414,4168986,2017.0,2018,1984.0,SOCIAL HOUSING,1,Etobicoke North,30 HUMBERLINE DR,19,176,2018-12-13,74,Evaluation needs to be conducted in 3 years,17,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,,3.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,,W0125,43.7316900072,-79.6148713323,295530.63399999996,4843309.676
136415,4152667,2017.0,2018,1962.0,PRIVATE,20,Scarborough Southwest,130 FOXRIDGE DR,3,30,2018-12-13,81,Evaluation needs to be conducted in 3 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,E2023,43.7242519745,-79.2657615108,323656.732,4842503.35
136416,4154136,2017.0,2018,1964.0,PRIVATE,14,Toronto-Danforth,20 GAMBLE AVE,12,213,2018-12-13,83,Evaluation needs to be conducted in 3 years,20,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,S1421,43.6898019641,-79.3535830039,316587.924,4838659.999
136417,4154120,2019.0,2018,1960.0,PRIVATE,14,Toronto-Danforth,27 GAMBLE AVE,6,75,2018-12-13,67,Evaluation needs to be conducted in 3 years,19,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,,S1421,43.6892398078,-79.3532188818,316617.38800000004,4838597.595
136418,4155628,2017.0,2018,1957.0,TCHC,8,Eglinton-Lawrence,1 LEILA LANE,3,31,2018-12-13,74,Evaluation needs to be conducted in 2 years,16,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,,,4.0,4.0,5.0,4.0,3.0,3.0,,5.0,4.0,,N0823,43.72308488,-79.445941428,309139.794,4842349.549
136419,4156791,2017.0,2018,1960.0,PRIVATE,16,Don Valley East,876 LAWRENCE AVE E,3,12,2018-12-13,75,Evaluation needs to be conducted in 3 years,15,4.0,3.0,2.0,3.0,4.0,4.0,,3.0,,,4.0,4.0,5.0,4.0,5.0,4.0,,5.0,2.0,,N1623,43.736202426000006,-79.34939102,316916.219,4843816.4
